L,1,664,7.991334697
C,2,649,7.810807558
A,3,610,7.341436996
D,4,585,7.040558431
M,5,571,6.872066434
R,6,562,6.76375015
E,7,515,6.198098447
B,8,474,5.7046576
S,9,421,5.066795042
H,10,412,4.958478758
G,11,380,4.573354194
J,12,349,4.200264773
T,13,308,3.706823926
W,14,289,3.478156216
F,15,242,2.912504513
O,16,236,2.840293657
K,17,205,2.467204236
P,18,202,2.431098809
N,19,195,2.34685281
V,20,194,2.334817668
I,21,108,1.299795403
Z,22,42,0.5054759899
U,23,39,0.469370562
Y,24,35,0.4212299916
Q,25,20,0.2407028523
X,26,2,0.02407028523